id	headline	text	asset_class
1	Milho fecha em alta com clima adverso em regiao agricola exportadora	Milho fecha em alta com clima adverso em regiao agricola exportadora. O preco da commodity influencia diretamente o setor de agronegocio. Traders acompanham a evolucao de milho no mercado internacional. Especialistas divergem sobre os impactos de medio prazo.	commodities
2	Certificado de deposito bancario oferece 9,6% do indice interbancario para captar liquidez	Certificado de deposito bancario oferece 9,6% do indice interbancario para captar liquidez. O movimento afeta diretamente aplicacoes em curva de juros. Gestores avaliam o impacto sobre a renda fixa.	fixed_income
3	Aprovacao de fundo negociado de criptoativos impulsiona o mercado	Aprovacao de fundo negociado de criptoativos impulsiona o mercado. O mercado de Coronel segue volatil e atrai investidores de varios perfis. A volatilidade permaneceu elevada durante toda a sessao...	crypto
4	AeroBras surpreendeu o mercado com margem EBITDA acima das projecoes	AeroBras surpreendeu o mercado com margem EBITDA acima das projecoes. O papel da companhia foi destaque no mercado de acoes. Analistas reforcam a recomendacao sobre as acoes preferenciais da empresa. O mercado reagiu de forma cautelosa ao longo do pregao.	equities
5	Investidores institucionais ampliam exposicao a criptoativos	Investidores institucionais ampliam exposicao a criptoativos. O mercado de criptoativos segue volatil e atrai investidores de varios perfis. Investidores acompanham os desdobramentos com atencao.O movimento tambem repercutiu no mercado de acoes ordinarias.	crypto
6	Milho fecha em alta com clima adverso em regiao agricola exportadora	Milho fecha em alta com clima adverso em regiao agricola exportadora. O preco da commodity influencia diretamente o setor de mineracao. Traders acompanham a evolucao de soja no mercado internacional. Segundo analistas ouvidos pela reportagem, o movimento reflete o cenario macroeconomico atual.	commodities
7	Tesouro do pais passa a remunerar 7,2% ao ano em titulo prefixado	Tesouro do pais passa a remunerar 7,2% ao ano em titulo prefixado. O movimento afeta diretamente aplicacoes em titulos publicos. Especialistas divergem sobre os impactos de medio prazo.	fixed_income
8	Dolar fecha em alta de 3% cotado a R$ 4,07	Dolar fecha em alta de 3% cotado a R$ 4,07. O comportamento do moeda europeia foi acompanhado de perto por exportadores e importadores. O anuncio veio em linha com as expectativas de parte do mercado.	fx
9	Cervejaria Tropical anunciou fusao com concorrente avaliada em R$ 40 bilhoes	Cervejaria Tropical anunciou fusao com concorrente avaliada em R$ 40 bilhoes. O papel da companhia foi destaque no pregao. O anuncio veio em linha com as expectativas de parte do mercado.	equities
10	Juro futuro recua apos dados de inflacao abaixo do esperado	Juro futuro recua apos dados de inflacao abaixo do esperado. O movimento afeta diretamente aplicacoes em rendimento. A volatilidade permaneceu elevada durante toda a sessao.	fixed_income
11	Cobre sobe com expectativa de demanda por transicao energetica	Cobre sobe com expectativa de demanda por transicao energetica. O preco da commodity influencia diretamente o setor de siderurgia. Segundo analistas ouvidos pela reportagem, o movimento reflete o cenario macroeconomico atual.	commodities
12	TITULO INDEXADO A INFLACAO PASSA A PAGAR O INDICE DE PRECOS MAIS 1,7% AO ANO	Titulo indexado a inflacao passa a pagar o indice de precos mais 1,7% ao ano. O movimento afeta diretamente aplicacoes em titulo prefixado. Gestores avaliam o impacto sobre a divida publica. A volatilidade permaneceu elevada durante toda a sessao.O impacto se estendeu a ativos ligados a acoes preferenciais.	fixed_income
13	Rendimento do titulo prefixado avanca com abertura da curva de juros	Rendimento do titulo prefixado avanca com abertura da curva de juros. O movimento afeta diretamente aplicacoes em debentures. O mercado reagiu de forma cautelosa ao longo do pregao.Investidores relacionaram o fato ao comportamento de blockchain.	fixed_income
14	FUNDO DE RENDA FIXA CAPTA R$ 2,5 BILHOES EM MEIO A JUROS ALTOS	FUNDO DE RENDA FIXA CAPTA R$ 2,5 BILHOES EM MEIO A JUROS ALTOS. O MOVIMENTO AFETA DIRETAMENTE APLICACOES EM TITULO PREFIXADO. GESTORES AVALIAM O IMPACTO SOBRE A RENDA FIXA. A NOTICIA REPERCUTIU ENTRE GESTORES DE FUNDOS E MESAS DE OPERACAO.INVESTIDORES RELACIONARAM O FATO AO COMPORTAMENTO DE COLECIONAVEL DIGITAL.	fixed_income
15	Farma Prime divulgou lucro liquido de R$ 3,7 bilhoes no trimestre	FARMA PRIME DIVULGOU LUCRO LIQUIDO DE R$ 3,7 BILHOES NO TRIMESTRE. O PAPEL DA COMPANHIA FOI DESTAQUE NO PREGAO. ANALISTAS REFORCAM A RECOMENDACAO SOBRE AS RESULTADO TRIMESTRAL DA EMPRESA.	equities
16	SoftBrasil Sistemas teve o rating rebaixado por casa de analise apos resultado abaixo do consenso..	SOFTBRASIL SISTEMAS TEVE O RATING REBAIXADO POR CASA DE ANALISE APOS RESULTADO ABAIXO DO CONSENSO.  O PAPEL DA COMPANHIA FOI DESTAQUE NO PREGAO.  ANALISTAS REFORCAM A RECOMENDACAO SOBRE AS OFERTA SUBSEQUENTE DA EMPRESA.  ESPECIALISTAS DIVERGEM SOBRE OS IMPACTOS DE MEDIO PRAZO.	fixed_income
17	BANCO NACIONAL UNIDO SURPREENDEU O MERCADO COM MARGEM EBITDA ACIMA DAS PROJECOES	Banco Nacional Unido surpreendeu o mercado com margem EBITDA acima das projecoes. O papel da companhia foi destaque no mercado de acoes. Analistas reforcam a recomendacao sobre as bolsa da empresa. O mercado reagiu de forma cautelosa ao longo do pregao.O movimento tambem repercutiu no mercado de corte de emissao.	equities
